,Value,features
15,1.2049525253097882e+17,osm_city_nearest_population
66,2.9232482921312256e+16,total_square
49,2.8332133191286784e+16,osm_subway_closest_dist
1,1.7716331906215936e+16,lng
3,1.4145383132598272e+16,osm_amenity_points_in_0.005
46,9239002786488320.0,osm_shops_points_in_0.005
2,7344089229447168.0,osm_amenity_points_in_0.001
4,5973557920858112.0,osm_amenity_points_in_0.0075
45,5468180715257856.0,osm_shops_points_in_0.001
0,5036441143713792.0,lat
10,4910621493489664.0,osm_catering_points_in_0.001
24,4213663242518528.0,osm_culture_points_in_0.01
54,3809087568969728.0,osm_transport_stop_closest_dist
14,3388679750995968.0,osm_city_closest_dist
16,3261396785041408.0,osm_crossing_closest_dist
11,2876620239683584.0,osm_catering_points_in_0.005
34,2757440486551552.0,osm_historic_points_in_0.01
28,2426643335749632.0,osm_finance_points_in_0.01
13,2400425627488256.0,osm_catering_points_in_0.01
55,2218719889981440.0,osm_transport_stop_points_in_0.005
50,2174091456237568.0,osm_train_stop_closest_dist
62,2160321566785536.0,reform_mean_floor_count_1000
63,2156767521656832.0,reform_mean_floor_count_500
61,2150670225018880.0,reform_house_population_500
26,2126524240347136.0,osm_finance_points_in_0.005
12,2075575814184960.0,osm_catering_points_in_0.0075
57,2030067916365824.0,osm_transport_stop_points_in_0.01
60,2002654966665216.0,reform_house_population_1000
20,1987342648684544.0,osm_crossing_points_in_0.01
19,1914917669871616.0,osm_crossing_points_in_0.0075
29,1703435011665920.0,osm_healthcare_points_in_0.005
56,1656486849155072.0,osm_transport_stop_points_in_0.0075
23,1619995723022336.0,osm_culture_points_in_0.0075
59,1618103972605952.0,reform_count_of_houses_500
39,1574263684952064.0,osm_leisure_points_in_0.0075
18,1530464763265024.0,osm_crossing_points_in_0.005
33,1529907500503040.0,osm_historic_points_in_0.0075
40,1478388964028416.0,osm_leisure_points_in_0.01
22,1456408994873344.0,osm_culture_points_in_0.005
32,1451310486921216.0,osm_historic_points_in_0.005
42,1427096083185664.0,osm_offices_points_in_0.005
58,1389713007431680.0,reform_count_of_houses_1000
65,1376637743906816.0,reform_mean_year_building_500
48,1318944563453952.0,osm_shops_points_in_0.01
64,1263518275706880.0,reform_mean_year_building_1000
9,1260612094263296.0,osm_building_points_in_0.01
44,1253100082470912.0,osm_offices_points_in_0.01
43,1149055290490880.0,osm_offices_points_in_0.0075
5,1030379762655232.0,osm_amenity_points_in_0.01
25,944135323090944.0,osm_finance_points_in_0.001
37,873212816711680.0,osm_hotels_points_in_0.01
30,830558714531840.0,osm_healthcare_points_in_0.0075
36,808466692669440.0,osm_hotels_points_in_0.0075
27,800871875059712.0,osm_finance_points_in_0.0075
31,800742314868736.0,osm_healthcare_points_in_0.01
38,743034072989696.0,osm_leisure_points_in_0.005
7,718285828452352.0,osm_building_points_in_0.005
47,654934859177984.0,osm_shops_points_in_0.0075
8,559425135484928.0,osm_building_points_in_0.0075
41,459122859720704.0,osm_offices_points_in_0.001
17,436651377487872.0,osm_crossing_points_in_0.001
35,385270577438720.0,osm_hotels_points_in_0.005
21,339259843305472.0,osm_culture_points_in_0.001
51,329093155737600.0,osm_train_stop_points_in_0.005
53,273627865710592.0,osm_train_stop_points_in_0.01
52,255670444130304.0,osm_train_stop_points_in_0.0075
6,254840159019008.0,osm_building_points_in_0.001
